Canal,Frecuencia Central (MHz),Riohacha,Valledupar,Santa Marta,Baranquilla,Cartagena,Sincelejo,Monteria,Medellín,Pereira,Manizales,Armenia,Bogotá,Cúcuta,Bucaramanga,Arauca,Yopal,Tunja,Villavicencio,Ibagué,Neiva,Florencia,Mocoa,San José del Guaviare,Pto. Carreño,Pto. Inírida,Mitú,Leticia,Quibdó,Cali,Popayán,Pasto,San Andrés Islas
Canal 14,473,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 15,479,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 16,485,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 17,491,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 18,497,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 19,503,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 20,509,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 21,515,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 22,521,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 23,527,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 24,533,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 25,539,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 26,545,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,16-QAM,64-QAM
Canal 27,551,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,16-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,16-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 28,557,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 29,563,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 30,569,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 31,575,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 32,581,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 33,587,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 34,593,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
Canal 35,599,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM,64-QAM
