Frecuencia,PSD
-10000000.000000,0.000242
-9980468.750000,0.000138
-9960937.500000,0.000091
-9941406.250000,0.000083
-9921875.000000,0.000080
-9902343.750000,0.000076
-9882812.500000,0.000073
-9863281.250000,0.000073
-9843750.000000,0.000073
-9824218.750000,0.000113
-9804687.500000,0.000116
-9785156.250000,0.000073
-9765625.000000,0.000074
-9746093.750000,0.000076
-9726562.500000,0.000077
-9707031.250000,0.000082
-9687500.000000,0.000087
-9667968.750000,0.000082
-9648437.500000,0.000085
-9628906.250000,0.000087
-9609375.000000,0.000094
-9589843.750000,0.000171
-9570312.500000,0.000259
-9550781.250000,0.000131
-9531250.000000,0.000098
-9511718.750000,0.000094
-9492187.500000,0.000098
-9472656.250000,0.000100
-9453125.000000,0.000113
-9433593.750000,0.000109
-9414062.500000,0.000104
-9394531.250000,0.000110
-9375000.000000,0.000130
-9355468.750000,0.000240
-9335937.500000,0.000454
-9316406.250000,0.000305
-9296875.000000,0.000140
-9277343.750000,0.000127
-9257812.500000,0.000120
-9238281.250000,0.000118
-9218750.000000,0.000121
-9199218.750000,0.000127
-9179687.500000,0.000132
-9160156.250000,0.000134
-9140625.000000,0.000131
-9121093.750000,0.000143
-9101562.500000,0.000155
-9082031.250000,0.000151
-9062500.000000,0.000152
-9042968.750000,0.000157
-9023437.500000,0.000173
-9003906.250000,0.000209
-8984375.000000,0.000268
-8964843.750000,0.000210
-8945312.500000,0.000185
-8925781.250000,0.000163
-8906250.000000,0.000158
-8886718.750000,0.000171
-8867187.500000,0.000273
-8847656.250000,0.000195
-8828125.000000,0.000171
-8808593.750000,0.000179
-8789062.500000,0.000191
-8769531.250000,0.000216
-8750000.000000,0.000384
-8730468.750000,0.000581
-8710937.500000,0.000884
-8691406.250000,0.001325
-8671875.000000,0.001689
-8652343.750000,0.000929
-8632812.500000,0.000351
-8613281.250000,0.000255
-8593750.000000,0.000237
-8574218.750000,0.000240
-8554687.500000,0.000240
-8535156.250000,0.000227
-8515625.000000,0.000241
-8496093.750000,0.000279
-8476562.500000,0.000239
-8457031.250000,0.000231
-8437500.000000,0.000243
-8417968.750000,0.000236
-8398437.500000,0.000237
-8378906.250000,0.000270
-8359375.000000,0.000254
-8339843.750000,0.000255
-8320312.500000,0.000262
-8300781.250000,0.000258
-8281250.000000,0.000256
-8261718.750000,0.000262
-8242187.500000,0.000267
-8222656.250000,0.000275
-8203125.000000,0.000282
-8183593.750000,0.000284
-8164062.500000,0.000303
-8144531.250000,0.000364
-8125000.000000,0.000343
-8105468.750000,0.000317
-8085937.500000,0.000316
-8066406.250000,0.000334
-8046875.000000,0.000327
-8027343.750000,0.000440
-8007812.500000,0.001026
-7988281.250000,0.000912
-7968750.000000,0.000431
-7949218.750000,0.000360
-7929687.500000,0.000348
-7910156.250000,0.000355
-7890625.000000,0.000426
-7871093.750000,0.000381
-7851562.500000,0.000365
-7832031.250000,0.000362
-7812500.000000,0.000371
-7792968.750000,0.000378
-7773437.500000,0.000516
-7753906.250000,0.000488
-7734375.000000,0.000408
-7714843.750000,0.000422
-7695312.500000,0.000432
-7675781.250000,0.000430
-7656250.000000,0.000481
-7636718.750000,0.000511
-7617187.500000,0.000448
-7597656.250000,0.000444
-7578125.000000,0.000452
-7558593.750000,0.000468
-7539062.500000,0.000494
-7519531.250000,0.000549
-7500000.000000,0.000560
-7480468.750000,0.000549
-7460937.500000,0.000582
-7441406.250000,0.001153
-7421875.000000,0.001271
-7402343.750000,0.000696
-7382812.500000,0.000534
-7363281.250000,0.000587
-7343750.000000,0.001196
-7324218.750000,0.001335
-7304687.500000,0.000643
-7285156.250000,0.000836
-7265625.000000,0.000735
-7246093.750000,0.000508
-7226562.500000,0.000522
-7207031.250000,0.000521
-7187500.000000,0.000500
-7167968.750000,0.000686
-7148437.500000,0.000820
-7128906.250000,0.000520
-7109375.000000,0.000522
-7089843.750000,0.000533
-7070312.500000,0.000527
-7050781.250000,0.000541
-7031250.000000,0.000578
-7011718.750000,0.000550
-6992187.500000,0.000551
-6972656.250000,0.000602
-6953125.000000,0.000556
-6933593.750000,0.000562
-6914062.500000,0.000587
-6894531.250000,0.000588
-6875000.000000,0.000568
-6855468.750000,0.000571
-6835937.500000,0.000578
-6816406.250000,0.000572
-6796875.000000,0.000594
-6777343.750000,0.000599
-6757812.500000,0.000596
-6738281.250000,0.000606
-6718750.000000,0.000631
-6699218.750000,0.000714
-6679687.500000,0.001297
-6660156.250000,0.001604
-6640625.000000,0.000853
-6621093.750000,0.000691
-6601562.500000,0.000685
-6582031.250000,0.000650
-6562500.000000,0.000664
-6542968.750000,0.000664
-6523437.500000,0.000663
-6503906.250000,0.000671
-6484375.000000,0.000669
-6464843.750000,0.000670
-6445312.500000,0.000677
-6425781.250000,0.000683
-6406250.000000,0.000678
-6386718.750000,0.000700
-6367187.500000,0.000709
-6347656.250000,0.000719
-6328125.000000,0.000732
-6308593.750000,0.000758
-6289062.500000,0.000761
-6269531.250000,0.000773
-6250000.000000,0.000783
-6230468.750000,0.000763
-6210937.500000,0.000771
-6191406.250000,0.000774
-6171875.000000,0.000764
-6152343.750000,0.000751
-6132812.500000,0.000741
-6113281.250000,0.000753
-6093750.000000,0.000742
-6074218.750000,0.000755
-6054687.500000,0.000801
-6035156.250000,0.000863
-6015625.000000,0.001313
-5996093.750000,0.001913
-5976562.500000,0.001053
-5957031.250000,0.000857
-5937500.000000,0.000964
-5917968.750000,0.000903
-5898437.500000,0.000900
-5878906.250000,0.000937
-5859375.000000,0.001011
-5839843.750000,0.001170
-5820312.500000,0.001448
-5800781.250000,0.001421
-5781250.000000,0.001121
-5761718.750000,0.000984
-5742187.500000,0.000950
-5722656.250000,0.000959
-5703125.000000,0.001012
-5683593.750000,0.001048
-5664062.500000,0.000922
-5644531.250000,0.000915
-5625000.000000,0.000957
-5605468.750000,0.000858
-5585937.500000,0.000886
-5566406.250000,0.000992
-5546875.000000,0.000895
-5527343.750000,0.000882
-5507812.500000,0.000928
-5488281.250000,0.000895
-5468750.000000,0.000901
-5449218.750000,0.000914
-5429687.500000,0.000922
-5410156.250000,0.000964
-5390625.000000,0.001014
-5371093.750000,0.001018
-5351562.500000,0.001339
-5332031.250000,0.002043
-5312500.000000,0.001679
-5292968.750000,0.002463
-5273437.500000,0.001928
-5253906.250000,0.001075
-5234375.000000,0.001029
-5214843.750000,0.001042
-5195312.500000,0.001050
-5175781.250000,0.001027
-5156250.000000,0.001035
-5136718.750000,0.001061
-5117187.500000,0.001094
-5097656.250000,0.001129
-5078125.000000,0.001136
-5058593.750000,0.001091
-5039062.500000,0.001056
-5019531.250000,0.001074
-5000000.000000,0.001097
-4980468.750000,0.001081
-4960937.500000,0.001174
-4941406.250000,0.001126
-4921875.000000,0.001105
-4902343.750000,0.001140
-4882812.500000,0.001129
-4863281.250000,0.001130
-4843750.000000,0.001154
-4824218.750000,0.001194
-4804687.500000,0.001204
-4785156.250000,0.001254
-4765625.000000,0.001335
-4746093.750000,0.001377
-4726562.500000,0.001607
-4707031.250000,0.002252
-4687500.000000,0.004001
-4667968.750000,0.006918
-4648437.500000,0.008577
-4628906.250000,0.011320
-4609375.000000,0.013679
-4589843.750000,0.012125
-4570312.500000,0.008678
-4550781.250000,0.005050
-4531250.000000,0.002963
-4511718.750000,0.002822
-4492187.500000,0.002942
-4472656.250000,0.003147
-4453125.000000,0.002203
-4433593.750000,0.001481
-4414062.500000,0.001395
-4394531.250000,0.001355
-4375000.000000,0.001345
-4355468.750000,0.001392
-4335937.500000,0.001388
-4316406.250000,0.001349
-4296875.000000,0.001404
-4277343.750000,0.001423
-4257812.500000,0.001365
