Frequency_Hz,PSD
-10000000,3.051757812e-10
-9995117.188,1.978297007e-08
-9990234.375,1.016798303e-08
-9985351.562,3.21700649e-08
-9980468.75,1.892859908e-08
-9975585.938,2.445665393e-09
-9970703.125,8.432791456e-09
-9965820.312,1.807641678e-08
-9960937.5,2.517172072e-08
-9956054.688,1.260233954e-09
-9951171.875,1.235586814e-08
-9946289.062,3.530618917e-09
-9941406.25,2.276637636e-09
-9936523.438,7.460552469e-09
-9931640.625,3.204963621e-08
-9926757.812,1.861205937e-08
-9921875,6.656296384e-09
-9916992.188,4.431271628e-09
-9912109.375,8.311457386e-11
-9907226.562,1.182153648e-08
-9902343.75,7.056436004e-09
-9897460.938,1.996375389e-08
-9892578.125,3.119155052e-09
-9887695.312,2.030412925e-08
-9882812.5,4.120081775e-08
-9877929.688,1.25284461e-08
-9873046.875,1.498595106e-09
-9868164.062,1.039587476e-09
-9863281.25,6.73456654e-10
-9858398.438,7.035157195e-09
-9853515.625,9.323680331e-09
-9848632.812,3.702627033e-09
-9843750,1.886648179e-08
-9838867.188,2.606612557e-08
-9833984.375,1.605483393e-09
-9829101.562,8.140496877e-10
-9824218.75,2.665951754e-08
-9819335.938,2.983039719e-08
-9814453.125,4.051925373e-09
-9809570.312,3.688937667e-08
-9804687.5,7.611476993e-09
-9799804.688,1.775154849e-08
-9794921.875,1.67266104e-09
-9790039.062,1.482706069e-08
-9785156.25,3.767885368e-09
-9780273.438,2.11245993e-08
-9775390.625,3.687790686e-10
-9770507.812,3.729079481e-09
-9765625,1.075838982e-08
-9760742.188,6.646944517e-09
-9755859.375,1.218286804e-08
-9750976.562,3.179412901e-08
-9746093.75,1.771303188e-10
-9741210.938,3.01510514e-08
-9736328.125,5.050011437e-11
-9731445.312,3.62761562e-09
-9726562.5,1.974631669e-09
-9721679.688,9.977103069e-09
-9716796.875,1.760052324e-08
-9711914.062,5.894090664e-10
-9707031.25,5.169119158e-09
-9702148.438,2.186298124e-08
-9697265.625,3.152836333e-09
-9692382.812,2.298577718e-08
-9687500,3.110521236e-08
-9682617.188,3.172920508e-08
-9677734.375,4.483642908e-09
-9672851.562,3.29150645e-09
-9667968.75,1.084506215e-08
-9663085.938,2.109691306e-09
-9658203.125,5.731214126e-09
-9653320.312,2.269236094e-08
-9648437.5,3.762749642e-08
-9643554.688,1.535256727e-09
-9638671.875,9.461336708e-09
-9633789.062,2.403977661e-08
-9628906.25,6.555407083e-09
-9624023.438,2.445339581e-08
-9619140.625,4.018723053e-08
-9614257.812,9.14341442e-09
-9609375,2.369647929e-08
-9604492.188,3.089887402e-08
-9599609.375,3.730562728e-08
-9594726.562,7.745046747e-09
-9589843.75,8.027251328e-09
-9584960.938,1.242611587e-08
-9580078.125,1.550997377e-08
-9575195.312,1.023733077e-08
-9570312.5,3.213396805e-09
-9565429.688,6.497749375e-09
-9560546.875,6.910381176e-09
-9555664.062,1.110747586e-09
-9550781.25,2.91676998e-09
-9545898.438,1.529035291e-09
-9541015.625,1.238630643e-09
-9536132.812,1.036531615e-08
-9531250,5.81511302e-10
-9526367.188,7.307159453e-09
