Frequency_Hz,PSD
-10000000,1.33913325e-08
-9995117.188,1.369716591e-08
-9990234.375,1.363024031e-08
-9985351.562,1.354644338e-08
-9980468.75,1.355202304e-08
-9975585.938,1.366084425e-08
-9970703.125,1.367195312e-08
-9965820.312,1.366729171e-08
-9960937.5,1.342413786e-08
-9956054.688,1.344034932e-08
-9951171.875,1.373455121e-08
-9946289.062,1.38393637e-08
-9941406.25,1.380739135e-08
-9936523.438,1.373850723e-08
-9931640.625,1.353808837e-08
-9926757.812,1.350701773e-08
-9921875,1.337882849e-08
-9916992.188,1.359378453e-08
-9912109.375,1.346595789e-08
-9907226.562,1.3457899e-08
-9902343.75,1.319517678e-08
-9897460.938,1.3167078e-08
-9892578.125,1.36246751e-08
-9887695.312,1.381602908e-08
-9882812.5,1.384666465e-08
-9877929.688,1.347001538e-08
-9873046.875,1.362961387e-08
-9868164.062,1.363637407e-08
-9863281.25,1.358177191e-08
-9858398.438,1.314372348e-08
-9853515.625,1.328392888e-08
-9848632.812,1.319291546e-08
-9843750,1.349970907e-08
-9838867.188,1.363284412e-08
-9833984.375,1.340066971e-08
-9829101.562,1.344288523e-08
-9824218.75,1.353964901e-08
-9819335.938,1.345265869e-08
-9814453.125,1.341761393e-08
-9809570.312,1.353444059e-08
-9804687.5,1.346508104e-08
-9799804.688,1.337100303e-08
-9794921.875,1.347123094e-08
-9790039.062,1.365487781e-08
-9785156.25,1.350819085e-08
-9780273.438,1.355349195e-08
-9775390.625,1.311063984e-08
-9770507.812,1.344187012e-08
-9765625,1.379976891e-08
-9760742.188,1.369015985e-08
-9755859.375,1.34435143e-08
-9750976.562,1.345852768e-08
-9746093.75,1.348419986e-08
-9741210.938,1.344492335e-08
-9736328.125,1.341480585e-08
-9731445.312,1.34734342e-08
-9726562.5,1.332161085e-08
-9721679.688,1.323888885e-08
-9716796.875,1.336537744e-08
-9711914.062,1.369653018e-08
-9707031.25,1.365717335e-08
-9702148.438,1.374068298e-08
-9697265.625,1.34615099e-08
-9692382.812,1.328174954e-08
-9687500,1.340376084e-08
-9682617.188,1.370007252e-08
-9677734.375,1.378367432e-08
-9672851.562,1.382998089e-08
-9667968.75,1.371115633e-08
-9663085.938,1.344042726e-08
-9658203.125,1.321568539e-08
-9653320.312,1.331769494e-08
-9648437.5,1.334327247e-08
-9643554.688,1.355706213e-08
-9638671.875,1.359110446e-08
-9633789.062,1.344503318e-08
-9628906.25,1.328452311e-08
-9624023.438,1.339279371e-08
-9619140.625,1.360927909e-08
-9614257.812,1.368056124e-08
