Trace
Swept SA
A.34.06,N9000B
503 ABE EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0012
Start Frequency,10000000
Stop Frequency,3000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-65.6209487915039
12990000,-78.9044799804688
15980000,-66.4733200073242
18970000,-89.8379821777344
21960000,-69.4393692016602
24950000,-82.1415710449219
27940000,-70.1860122680664
30930000,-79.5544815063477
33920000,-68.9319381713867
36910000,-93.2446060180664
39900000,-70.1648941040039
42890000,-85.5708694458008
45880000,-68.5793685913086
48870000,-88.7660980224609
51860000,-69.0679397583008
54850000,-78.0598449707031
57840000,-70.9316558837891
60830000,-84.6837463378906
63820000,-70.2936477661133
66810000,-86.7980804443359
69800000,-68.3908157348633
72790000,-88.364143371582
75780000,-69.6474761962891
78770000,-90.3425140380859
81760000,-71.5001754760742
84750000,-87.2520294189453
87740000,-68.0289840698242
90730000,-90.2152099609375
93720000,-68.2420349121094
96710000,-87.3885650634766
99700000,-69.1018295288086
102690000,-82.5614166259766
105680000,-68.7761764526367
108670000,-89.6181945800781
111660000,-67.9353256225586
114650000,-87.6021881103516
117640000,-71.0315322875977
120630000,-77.2284774780273
123620000,-68.7582931518555
126610000,-91.1995391845703
129600000,-71.6843566894531
132590000,-87.0369338989258
135580000,-67.8291244506836
138570000,-85.6996002197266
141560000,-68.0858688354492
144550000,-80.2892456054688
147540000,-67.5679931640625
150530000,-82.892219543457
153520000,-67.6804351806641
156510000,-84.6272735595703
159500000,-69.4096145629883
162490000,-84.4514923095703
165480000,-69.0339279174805
168470000,-82.1767349243164
171460000,-70.0862274169922
174450000,-89.2555160522461
177440000,-67.1661987304688
180430000,-89.8301010131836
